"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 10-Nov-2022"
"NIFTY MIDCAP 150","15,136.45","15,212.90","15,058.20","15,142.80","15,199.15","56.35","0.37","82,12,93,508","12,717.16","15,599.05","11,016.50","0.51","27.92"
"FORTIS","343.50","366.00","341.05","342.20","361.90","19.70","5.76","37,12,746","131.35","366.00","245.50","7.64","28.63"
"PFC","276.35","288.90","276.05","277.30","288.25","10.95","3.95","2,64,51,061","750.65","288.90","93.12","15.08","146.32"
"KPITTECH","1,314.55","1,377.35","1,310.00","1,314.70","1,362.00","47.30","3.60","14,39,812","194.78","1,377.35","622.55","11.89","106.24"
"NMDC","162.45","169.60","161.45","163.05","168.85","5.80","3.56","2,43,58,320","407.56","169.60","103.75","12.24","49.69"
"JSL","460.00","484.35","457.40","460.20","474.00","13.80","3.00","12,52,337","58.49","541.00","153.70","2.05","199.34"
"AUROPHARMA","964.00","984.00","941.55","950.75","977.15","26.40","2.78","54,95,149","532.34","984.00","397.20","8.87","105.04"
"RECLTD","317.90","326.90","317.15","318.00","326.00","8.00","2.52","1,14,67,991","369.19","326.90","99.00","11.69","226.84"
"BHEL","125.55","130.20","123.80","125.80","128.95","3.15","2.50","2,48,94,388","318.30","148.90","66.30","-1.38","70.81"
"POLICYBZR","731.00","750.95","727.00","731.15","749.00","17.85","2.44","7,93,607","58.86","818.00","356.20","-0.17","99.67"
"TORNTPOWER","760.10","788.30","760.10","760.10","777.80","17.70","2.33","7,66,244","59.71","800.00","430.85","3.94","52.78"
"GMRINFRA","56.50","58.40","55.70","56.20","57.50","1.30","2.31","1,53,51,937","87.95","66.75","35.60","-2.78","51.71"
"JKCEMENT","3,390.40","3,471.00","3,369.10","3,390.40","3,461.45","71.05","2.10","1,33,511","45.86","3,495.00","2,540.00","8.71","25.10"
"ESCORTS","3,083.80","3,174.35","3,062.50","3,093.05","3,155.10","62.05","2.01","5,35,506","168.26","3,440.15","1,807.70","-6.85","56.74"
"ASHOKLEY","171.30","174.25","168.55","170.40","173.75","3.35","1.97","1,18,07,704","203.46","191.50","133.10","-1.45","18.55"
"HINDZINC","296.60","305.90","295.35","296.60","302.35","5.75","1.94","3,31,948","9.98","383.00","289.25","-4.88","3.06"
"DEEPAKNTR","2,079.85","2,117.00","2,055.05","2,076.40","2,113.00","36.60","1.76","2,79,373","58.60","2,372.70","1,730.00","0.87","1.57"
"PAGEIND","37,691.55","38,430.00","37,400.00","37,686.55","38,350.00","663.45","1.76","29,199","111.07","50,251.00","34,952.65","-2.92","-21.18"
"SUNDRMFAST","1,250.00","1,278.00","1,237.50","1,251.25","1,273.00","21.75","1.74","43,861","5.50","1,340.70","878.30","2.32","32.63"
"NYKAA","146.95","150.50","145.20","147.50","150.00","2.50","1.69","28,17,754","41.70","224.45","114.25","0.94","-20.37"
"DEVYANI","180.20","183.20","178.50","180.10","183.10","3.00","1.67","13,00,625","23.59","227.50","133.95","-15.28","4.97"
"TIINDIA","3,159.95","3,220.00","3,109.80","3,152.05","3,200.00","47.95","1.52","69,419","21.95","3,736.40","2,375.00","9.28","24.41"
"FEDERALBNK","147.50","150.00","147.30","147.55","149.75","2.20","1.49","80,15,794","119.27","152.60","120.90","1.94","8.59"
"POONAWALLA","384.00","394.80","383.00","385.50","391.00","5.50","1.43","33,81,279","131.19","451.50","243.00","3.31","23.84"
"AUBANK","689.80","700.55","683.40","690.55","700.00","9.45","1.37","15,14,007","105.45","795.00","548.00","-2.31","11.27"
"BLUEDART","6,699.80","6,829.00","6,649.20","6,699.80","6,787.65","87.85","1.31","29,853","20.13","7,914.55","5,631.75","1.79","-6.15"
"CUMMINSIND","1,750.50","1,773.00","1,731.45","1,750.50","1,772.70","22.20","1.27","1,89,259","33.21","1,980.15","1,318.00","0.96","31.90"
"TIMKEN","2,901.00","2,968.80","2,900.45","2,917.45","2,954.00","36.55","1.25","23,573","6.96","3,758.00","2,660.00","-3.56","4.69"
"GICRE","223.00","227.65","221.45","224.40","227.20","2.80","1.25","3,41,129","7.68","239.50","127.15","2.49","59.96"
"GLAXO","1,472.00","1,496.95","1,449.05","1,449.40","1,465.00","15.60","1.08","2,82,109","41.90","1,624.00","1,227.00","-4.00","10.24"
"STARHEALTH","539.25","545.70","535.05","539.25","545.00","5.75","1.07","2,04,992","11.11","708.00","481.55","-5.71","-22.12"
"CGPOWER","386.25","389.55","379.60","383.65","387.65","4.00","1.04","11,17,609","43.02","459.70","247.55","-3.93","51.96"
"IDFCFIRSTB","84.60","85.55","83.80","84.65","85.50","0.85","1.00","1,72,59,640","146.26","100.70","52.10","-6.77","48.18"
"SAIL","87.15","88.65","86.60","87.15","88.00","0.85","0.98","1,47,76,717","129.67","103.65","73.75","-0.56","4.63"
"TRIDENT","35.90","36.30","35.55","35.95","36.30","0.35","0.97","53,05,827","19.07","43.75","25.05","-2.43","-4.23"
"GLAND","1,615.00","1,632.00","1,596.40","1,612.65","1,628.00","15.35","0.95","95,050","15.35","1,908.80","861.00","-0.42","-3.96"
"RAJESHEXPO","431.00","436.25","429.55","429.95","434.00","4.05","0.94","2,09,949","9.09","1,029.70","413.50","-6.35","-40.86"
"OIL","302.20","307.00","300.80","302.30","305.10","2.80","0.93","9,20,565","28.05","339.40","194.20","-1.96","56.15"
